INFO 2025-06-12 22:05:01,017 autoreload 64871 8810225408 Watching for file changes with StatReloader
INFO 2025-06-12 22:13:39,001 autoreload 67885 8810225408 Watching for file changes with StatReloader
WARNING 2025-06-12 22:41:16,808 log 67885 6131953664 Not Found: /api/rag/health/
WARNING 2025-06-13 06:46:18,290 log 67885 6148780032 Unauthorized: /api/auth/login/
WARNING 2025-06-13 06:51:02,495 log 67885 6131953664 Method Not Allowed (GET): /api/auth/login/
WARNING 2025-06-13 06:51:14,886 log 67885 6148780032 Not Found: /api/rag/health/
WARNING 2025-06-13 06:51:14,895 log 67885 6148780032 Not Found: /api/rag/health/
WARNING 2025-06-13 06:51:20,863 log 67885 6131953664 Not Found: /api/agents/medical-message/
WARNING 2025-06-13 06:51:45,605 log 67885 6131953664 Not Found: /api/rag/health/
WARNING 2025-06-13 06:52:15,616 log 67885 6131953664 Not Found: /api/rag/health/
WARNING 2025-06-13 06:52:45,614 log 67885 6131953664 Not Found: /api/rag/health/
WARNING 2025-06-13 06:53:15,611 log 67885 6131953664 Not Found: /api/rag/health/
WARNING 2025-06-13 06:53:45,604 log 67885 6131953664 Not Found: /api/rag/health/
WARNING 2025-06-25 04:35:28,496 ai_service 11941 8413437696 OpenAI API key no configurada
WARNING 2025-06-25 04:35:28,497 ai_service 11941 8413437696 Claude API key no configurada
WARNING 2025-06-25 04:35:28,497 ai_service 11941 8413437696 OpenAI API key no configurada
WARNING 2025-06-25 04:35:28,497 ai_service 11941 8413437696 Claude API key no configurada
ERROR 2025-06-25 10:06:08,500 ai_service 1138 8413437696 Error inicializando cliente OpenAI: Client.__init__() got an unexpected keyword argument 'proxies'
WARNING 2025-06-25 10:06:08,502 ai_service 1138 8413437696 Claude API key no configurada
INFO 2025-06-25 10:06:08,502 agent_manager 1138 8413437696 ✅ Tutor Agent inicializado
ERROR 2025-06-25 10:06:08,503 ai_service 1138 8413437696 Error inicializando cliente OpenAI: Client.__init__() got an unexpected keyword argument 'proxies'
WARNING 2025-06-25 10:06:08,503 ai_service 1138 8413437696 Claude API key no configurada
INFO 2025-06-25 10:06:08,503 agent_manager 1138 8413437696 ✅ Evaluator Agent inicializado
ERROR 2025-06-25 10:06:08,503 ai_service 1138 8413437696 Error inicializando cliente OpenAI: Client.__init__() got an unexpected keyword argument 'proxies'
WARNING 2025-06-25 10:06:08,503 ai_service 1138 8413437696 Claude API key no configurada
INFO 2025-06-25 10:06:08,503 agent_manager 1138 8413437696 ✅ Counselor Agent inicializado
ERROR 2025-06-25 10:06:08,503 ai_service 1138 8413437696 Error inicializando cliente OpenAI: Client.__init__() got an unexpected keyword argument 'proxies'
WARNING 2025-06-25 10:06:08,503 ai_service 1138 8413437696 Claude API key no configurada
INFO 2025-06-25 10:06:08,503 agent_manager 1138 8413437696 ✅ Curriculum Agent inicializado
ERROR 2025-06-25 10:06:08,503 ai_service 1138 8413437696 Error inicializando cliente OpenAI: Client.__init__() got an unexpected keyword argument 'proxies'
WARNING 2025-06-25 10:06:08,503 ai_service 1138 8413437696 Claude API key no configurada
INFO 2025-06-25 10:06:08,503 agent_manager 1138 8413437696 ✅ Analytics Agent inicializado
INFO 2025-06-25 10:06:08,503 agent_manager 1138 8413437696 AgentManager inicializado con 5 agentes
INFO 2025-06-25 10:06:08,503 agent_manager 1138 8413437696 Query routing: '¿Puedes ayudarme a estudiar matemáticas?...' -> tutor (score: 2.0)
